id,created_at,text
1584592934464151558,Mon Oct 24 17:09:30 +0000 2022,"RT @davidtayar5: Piper Sandler: Tesla China cuts were “an inevitability”

😏

$TSLA"
1584592934179336192,Mon Oct 24 17:09:30 +0000 2022,"RT @TDFTigray4: With the help of Russia, China, Turkey, UAE &amp; Iran; 🇪🇹 &amp; 🇪🇷 have been killed 
📍+500k Tigrayans massacres.
📍+120 girls &amp; wom…"
1584592933579550720,Mon Oct 24 17:09:30 +0000 2022,"https://t.co/SkaALnmkwS

The risk of doing business in China grows every day. Read about the latest human rights ab… https://t.co/NUlQIS3ev1"
1584592933424353281,Mon Oct 24 17:09:30 +0000 2022,"RT @noclador: Ukraine needs weapons and Germany needs help tackling corruption.

Therefore I propose a deal: Ukraine gets all the weapons i…"
1584592933357228032,Mon Oct 24 17:09:30 +0000 2022,"RT @shanvav: New: The US is accusing 2 suspected Chinese intelligence officers of working to obstruct a criminal probe of a ""global telecom…"
1584592931201028096,Mon Oct 24 17:09:29 +0000 2022,RT @nahaltoosi: 1/MY LATEST: I’ve spent recent months exploring a question that’s often ignored in Washington: Is US diplomacy strong enoug…
1584592930261848066,Mon Oct 24 17:09:29 +0000 2022,@ParikPatelCFA Ohhh I wonder if China will take over India on Chinese New Year.  That would be cool.  Worth a tweet for sure!
1584592921848057856,Mon Oct 24 17:09:27 +0000 2022,"@geostylegeo From what I can see it is unsanctioned illegal trade with China, Russia &amp; yes even the United States."
1584592920354488320,Mon Oct 24 17:09:27 +0000 2022,".
NOTHING, you DIVIDER!

ALL filthy Fascist Red Commie Republicans
are
out
in strength now to TURN AMERICA INTO AN… https://t.co/Kz092N3z0N"
1584592919503437824,Mon Oct 24 17:09:26 +0000 2022,"RT @shanvav: New: The US is accusing 2 suspected Chinese intelligence officers of working to obstruct a criminal probe of a ""global telecom…"
1584592917318234113,Mon Oct 24 17:09:26 +0000 2022,RT @CJICofficial: #China - #Africa Green Development Landmark Project-Garissa 50MW Solar Power Plant(Kenya) #FOCAC #ChinaAfrica @SaisCari @…
1584592915460149248,Mon Oct 24 17:09:26 +0000 2022,"RT @nytimes: Hu Jintao, the former Chinese leader, was unexpectedly escorted out of the Communist Party congress on Saturday without explan…"
1584592914415771648,Mon Oct 24 17:09:25 +0000 2022,"RT @matthewleungmh: Melo, from Mainland China who 'woke up' after studying in Nottingham earlier in his life, joined the Hongkongers'protes…"
1584592914327343104,Mon Oct 24 17:09:25 +0000 2022,"@leezeldin I told you this already, it’s not “one-party rule” if NY elects a Dem majority and governor because the… https://t.co/4kYKNjKtea"
1584592913455251457,Mon Oct 24 17:09:25 +0000 2022,@Scotts_Irish1 @revenanthamster @mfa_russia @mod_russia @iaeaorg @Amb_Ulyanov @mission_rf @RF_OSCE @RusEmbUSA… https://t.co/tbUdjF2lWP
1584592912184389634,Mon Oct 24 17:09:25 +0000 2022,"RT @AoxiPRNew: 10/23/2022 Miles Guo: After the 20th Party Congress, there will be two forces in China: Xi’s Party and the opposition of CCP…"
1584592910192111616,Mon Oct 24 17:09:24 +0000 2022,"@PCA20191 @HSprauge @RpsAgainstTrump Completely agree that we should not have a nuclear exchange over Ukraine.

Wou… https://t.co/uKiomm4Y9p"
1584592908677963776,Mon Oct 24 17:09:24 +0000 2022,"Average cost of 1GB of mobile data (in US$):

🇮🇱 Israel: 0.04
🇮🇹 Italy: 0.12
🇮🇳 India: 0.17
🇫🇷 France: 0.23
🇹🇷 Turk… https://t.co/GhMuRrVqTU"
1584592905980739601,Mon Oct 24 17:09:23 +0000 2022,"China’s economy will not overtake the US until 2060, if ever via @FT
 https://t.co/uRVIjYDQtp"
1584592902893748224,Mon Oct 24 17:09:23 +0000 2022,She’s helped Asian-Americans be angry: Cathy Park Hong’s book ‘Minor Feelings’ has a fan in Ali Wong and made the p… https://t.co/jKtQc5Z4Xg
1584592902520705024,Mon Oct 24 17:09:22 +0000 2022,"RT @ANFILOLI: @nytimes “Mr. Hu, who led China in 2003-13, represented a more open era, was more consultative, with a balance of party facti…"
1584592902201561088,Mon Oct 24 17:09:22 +0000 2022,RT @Halsrethink: Xi's consolidation of centralized power over his conomy takes place at a time of heightened stress in relations with US. T…
1584592901497323521,Mon Oct 24 17:09:22 +0000 2022,"RT @Marianne_2478: Attention‼️ Let’s help bring Yibo’s latest works to Netflix. 

🔗 https://t.co/3dRHPh7ovd

Suggestions:

💚 Being A Hero
💚…"
1584592901161381888,Mon Oct 24 17:09:22 +0000 2022,@bobdole07188553 @4allthe_animals @Village01858556 @sahouraxo You've said it there aren't perfect countries and Mao… https://t.co/0nSCieYK8T
