id,created_at,full_text
1589007372324057090,Sat Nov 05 21:30:54 +0000 2022,"@capin_murica @KilledInUkraine Easy, just think of the mass graves and torture chambers that pop up everywhere the Russians go.

If someone I knew or cared for joined the Russian military and took part in the atrocities against Ukrainians in Ukraine then I would no longer know them or care about them."
1589007367160877056,Sat Nov 05 21:30:53 +0000 2022,this looser should see the $BILLIONS GOING TO UKRAINE https://t.co/PhAAJdZeBb
1589007360412241920,Sat Nov 05 21:30:51 +0000 2022,"Putin: *destroys many power plants in Ukraine*

Ukrainians: *destroy russia’s power infrastructure little by little*

Biden: “we will be shutting all power plants”  

🙄😳🥺"
1589007353646829568,Sat Nov 05 21:30:50 +0000 2022,Invaders deport 34 more children from Kherson region to Russia https://t.co/40LLG2LZgo #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews
1589007349901041665,Sat Nov 05 21:30:49 +0000 2022,Conservatives still taking cash from Russia-linked donors | openDemocracy https://t.co/xGwoJXk8NG
1589007347783172096,Sat Nov 05 21:30:48 +0000 2022,"@scrowder @leonard_per Border Security, restoring Energy Independence, replenishing the Strategic Oil Reserve end our involvement in the Ukraine/Russia debacle. . . .."
1589007345501495296,Sat Nov 05 21:30:48 +0000 2022,"#news #crypto #ukraine #money #women #russia #usa #bitcoin #wwecrownjewel 
Biden: Coal Plants “All Across America” will be Shut Down, Replaced by Solar and Wind
DOA. Birdkillers are a total failure. Wildly expensive and totally unreliable. This plan is a recipe for disaster"
1589007343127494657,Sat Nov 05 21:30:47 +0000 2022,"1. How?
2. After the US murdered Soleimani, Iran struck a US occupied base, do you think they're scared to retaliate against Ukraine?
3. I'm sure Iran thanks you for the endorsement of Doritos' efficacy. https://t.co/RZDVxvP3l9"
1589007342754234368,Sat Nov 05 21:30:47 +0000 2022,"@RFromfriends @KyivIndependent The “Center against Disinformation of the National Security and Defense Council of Ukraine” had published a list of 75 personalities on the Internet in July, on which Mützenich was listed."
1589007335514836992,Sat Nov 05 21:30:45 +0000 2022,@chuckwoolery Still want to know where all that money to Ukraine went?
1589007325565632512,Sat Nov 05 21:30:43 +0000 2022,"I tend to find the most problematic takes when I start to enter far left spaces, especially the more hostile to the Democratic Party they get. In fact I fear I lost a friend over Ukraine because of the problematic takes they were getting from a leftist organization 👇"
1589007322466115584,Sat Nov 05 21:30:42 +0000 2022,#Russia is using HIV and Hepatitis C patients as canon dodder in its war with #Ukraine. #LGBTQ #HIV #RussiaUkraineWar #warcrimes https://t.co/VxFLRFZ9hD
1589007319308054528,Sat Nov 05 21:30:41 +0000 2022,@MargoGontar Sending empathy. Prayers for Ukraine
1589007317265453056,Sat Nov 05 21:30:41 +0000 2022,"Any Western commentator that includes Crimea returning to Ukraine as a potential negotiation is delusional.

The entire reason Russia seized Crimea was because they saw losing the Sevestopol port as an existential threat.

They will spare not expense to maintain their control."
1589007315155705856,Sat Nov 05 21:30:40 +0000 2022,"@Gerald95051 @NavyBike @POTUS I wonder how many, what the percentage of people living Ukraine are foreign born.  Like what happened here in the USA. 50 years of open borders everywhere has resulted in a lot of problems. Who belongs there and who does not. Basically since 2008 every thing is in reverse."
1589007313863864320,Sat Nov 05 21:30:40 +0000 2022,"WHEN WILL.ALL.THIS WHITE.ON WHITE CRIME STOP...Judge in Russia-occupied Ukraine in ‘serious’ condition after assassination attempt

https://t.co/uROj74eCge"
1589007311460511744,Sat Nov 05 21:30:40 +0000 2022,"@McFaul I don't. When a country like the US starts talking about ""peace"" it only means peace for itself. Countries like Ukraine get screwed.
The audacity to think we have the right to give away another country's land"
1589007310546178048,Sat Nov 05 21:30:39 +0000 2022,"@hey_butter Thanks for your service, Major White!

If you were in Russia you’d be on a troop train to Ukraine."
1589007310466473984,Sat Nov 05 21:30:39 +0000 2022,"@TTUllman @RoddySmittyy @Auslnder6 @Trollstoy88 Russia can leave anytime they want and if what you are saying is true, Ukraine would quit. Obviously they have been very motivated to embarrass Russia on the battlefield"
1589007307559829504,Sat Nov 05 21:30:39 +0000 2022,"Fleshgore - Carnival of Flesh
Brutal Death Metal from Kyiv, Ukraine
Release date: December 20th, 2022 

https://t.co/H408m37vuD

#deathmetal #oldschooldeathmetal #extremdeathmetal #brutaldeathmetal #blackdeathmetal  #deathmetalpromotion #newalbum2022 https://t.co/Hrum35DRj1"
1589007301532585984,Sat Nov 05 21:30:37 +0000 2022,"Russian troops are being trained in Belarus due to a lack of instructors and equipment - British intelligence As British intelligence notes, the newly mobilized conscripts are likely to have little or no training. 🇺🇦 Ukraine Now https://t.co/LFAFlp4LjG"
1589007296843370498,Sat Nov 05 21:30:36 +0000 2022,@UAWeapons McDonald Ukraine. Happy hour. Free kacapskij tank.
1589007278791090176,Sat Nov 05 21:30:32 +0000 2022,@BillKristol If by negotiation this means Russians leave all of Ukraine.
1589007260566839297,Sat Nov 05 21:30:27 +0000 2022,Grain initiative shows that world can counter Russian blackmail – President https://t.co/k9FVDg9wOo #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews
1589007251385487360,Sat Nov 05 21:30:25 +0000 2022,#Russia-Ukraine War: A #Russian #drone is seen flying about #Kyiv on October 17. Local authorities considered it to be an #Iranian-made unmanned #aerial vehicle. https://t.co/zg7My4zFam
1589007248650821632,Sat Nov 05 21:30:25 +0000 2022,@Woowoo1975 @MFA_Ukraine @ukrpravda_news And you too ma'am 😊
1589007243290497026,Sat Nov 05 21:30:23 +0000 2022,"We will not die for the interests of NATO – US – EU and Russia. We stand with the peoples’ struggles. Down with the capitalist wars!

Statment from Communist Liberation youth from Greece, 7/3/2022 #FreeKononovich #antireport @wfdy1945fmjd 
https://t.co/f3ieuabohM"
1589007241554067456,Sat Nov 05 21:30:23 +0000 2022,"@LeonLavictoire @ccVolpone @apmassaro3 It is not possible for pro-Russian forces to pursue their agenda within current Ukraine. It was made very clear with the Maidan coup, where the pro-Russian parties were ousted from power by a nationalist mob, after having won democratic elections."
1589007239087820801,Sat Nov 05 21:30:22 +0000 2022,Fury as Iran FINALLY admits it sent Russia 'suicide drones' used by Putin to rain down death on ... https://t.co/TPUXVv6cmH via @MailOnline Jake Sullivan is a national disgrace
1589007235140964352,Sat Nov 05 21:30:21 +0000 2022,"If you advocate for a “peace settlement” in Ukraine without a future security guarantee, the return of all Ukrainian land, and the removal of every Russian soldier from Ukrainian soil, then all you’re doing is asking for more of this. https://t.co/0c1LZ1bPto"
1589007233810976768,Sat Nov 05 21:30:21 +0000 2022,#Iran acknowledges providing #drones to @Russia before #Moscow's #invasion of @Ukraine — @CNN https://t.co/BqZCv2NXzL
1589007227255283712,Sat Nov 05 21:30:19 +0000 2022,@EZebroni Ukraine wouldn’t have internet access without him😐
1589007223472418816,Sat Nov 05 21:30:19 +0000 2022,"We must ensure full protection of Ukrainian sky, we will do everything for this – address of President Volodymyr #Zelenskyy — Official website of the President of #Ukraine: https://t.co/5eS3G3kL8d"
1589007220792258562,Sat Nov 05 21:30:18 +0000 2022,"@TrentTelenko Russia has a partially damaged bridge. 

Ukraine has no electricity this winter 🥶.

⚖️"
1589007215524216832,Sat Nov 05 21:30:17 +0000 2022,@john_holley And now they are going to free murderers from prison. I think #Putin has been watching too many reruns of #SuicideSquad. 🇺🇦 🫂 https://t.co/9hFbEzTvFt
1589007212063629312,Sat Nov 05 21:30:16 +0000 2022,"From the FRED Blog: Nominal oil prices hit near-record levels in early 2022, when Russia invaded Ukraine. Real (inflation-adjusted) prices were 130% higher than in January 1986 but lower than they were for most of the 2010-2015 period https://t.co/8N0In9kK41 https://t.co/S9uYAXNMCa"
1589007208913608705,Sat Nov 05 21:30:15 +0000 2022,"@Iryn27919667 @nolabjorn @RWApodcast I don't support Russia's invasion of Ukraine, I'm just tired of people like you trying to claim Ukraine doesn't have a Nazi problem. As a communist I advocate revolutionary defeatism of any bourgeois states in war."
1589007208343281665,Sat Nov 05 21:30:15 +0000 2022,Brazil is a huge trade partner for #China. Lula has already made comments in support of #Russia in the war with #Ukraine. Is #Brazil a risk for US power in the western hemisphere? @amlivemon discusses in this Week Ahead with @TonyNashNerd: https://t.co/PBAPviWQIC
1589007207081078784,Sat Nov 05 21:30:15 +0000 2022,"🇪🇺described this week that #Serbia has made advanced progress in its 🇪🇺integration. Meanwhile, the Serbian dictator supports #Russia and destabilizes the Western Balkans, threatening to invade #Kosovo. 🇷🇸is little🇷🇺 in the Balkans. 

#Ukraine #RussiaIsATerroristState #Kherson https://t.co/0WFGI0M3lR"
1589007204505780224,Sat Nov 05 21:30:14 +0000 2022,@POTUS Will you bring peace to Ukraine?
1589007202857013248,Sat Nov 05 21:30:14 +0000 2022,@ProudElephantUS Ukraine
1589007195840315393,Sat Nov 05 21:30:12 +0000 2022,"@onyedikajoshua2 @simon_ekpa People like you should be used for sacrifice bcuz you don't have any economic value.......mmmmmm

Your mates in Ukraine are fighting for freedom while you are waiting for social media &amp; street protest to give you BIAFRA REPUBLIC. No be juju be that until 2099"
1589007192342294529,Sat Nov 05 21:30:11 +0000 2022,"#255dayofwar

⚡We shoot down at least ten Iranian drones every day, and the Iranian regime claims that it allegedly gave little and even before the start of full-scale invasion - President of #Ukraine Volodymyr Zelenskyy⚡

#UkraineWar #UkraineRussiaWar #RussiaIsATerroristState https://t.co/10mDCs53iJ"
1589007177255387136,Sat Nov 05 21:30:08 +0000 2022,@Woowoo1975 @ukrainiansquad Thanks for your support towards Ukrainians and Ukraine 🇺🇦✊♥️
1589007163892314113,Sat Nov 05 21:30:04 +0000 2022,"two power lines had been repaired, after they were damaged by Russian shelling earlier this week. The plant has already lost external power several times during the conflict in Ukraine, forcing it to rely on diesel generators. In a statement,"
1589007156103491589,Sat Nov 05 21:30:02 +0000 2022,@UkrainianDem @disclosetv And i can't bring myself to stand with Ukraine.
1589007155151376384,Sat Nov 05 21:30:02 +0000 2022,"@m5art @ShutUpKaren14 @JimBennettNL Actually, go TO Ukraine and show us some actual balls.  Oh wait, you're a Democrat.  You don't have any.  Your men and your women are all genderless Barbie dolls with nothing to show biology."
1589007154127818752,Sat Nov 05 21:30:02 +0000 2022,Russia's war on Ukraine latest news: Russia resumes participation in grain deal - Reuters https://t.co/uPSZftl1cx
1589007153477873664,Sat Nov 05 21:30:02 +0000 2022,@SgtRobertBarnes @JoriCahaya @LibraryLady1984 @ZvikaKlein @ZelenskyyUa @Jerusalem_Post @Ukraine @MFA_Ukraine Stop supporting genocide. https://t.co/6weI2GZmtk
1589007150441172993,Sat Nov 05 21:30:01 +0000 2022,"@freddieminelli @SkyNews Well I checked the article it didn't say anything about how he died. By the way, you forgot to add your Ukraine, LGBTQXYZ and BLM hashtags in your profile description."
1589007148931252225,Sat Nov 05 21:30:01 +0000 2022,"@Smoiky @SlightlyRobotic @JJSALADINO @PLCount @McFaul Doesn't matter. Weather ukraine keeps donbas/crimea, IMF wins. Austerity will give the west ukains assets"
1589007146166853632,Sat Nov 05 21:30:00 +0000 2022,"Interested in Russia's #WagnerGroup #WagnerPMC &amp; at @PeaceScienceSoc? Then come check out my poster, where Mattew Kyle Ellis and I use the war in Ukraine as an instrument to measure Wagner's violence. We conclude that Wagner commits more severe political violence than CAR forces. https://t.co/p8MDEyCzr9"
1589007146150133761,Sat Nov 05 21:30:00 +0000 2022,"The US assistance package also includes 1,100 drone systems, 40 armoured boats and the refurbishment of 250 armoured vehicles

https://t.co/MEZ2htNgnQ"
1589007145189937152,Sat Nov 05 21:30:00 +0000 2022,@decolonizethys @bonks_4_putinho @Trollstoy88 Ukraine is NOT Russia
1589007144602505217,Sat Nov 05 21:30:00 +0000 2022,"Attackers injure pro-Russia judge who sentenced foreigners to death in Ukraine

#UkraineRussianWar 
https://t.co/wcqUKpvbM1"
1589007144535281664,Sat Nov 05 21:30:00 +0000 2022,"Ministry of Foreign Affairs of Ukraine replies to leader of German Social Democrats: Ukraine has no ""terrorist list""

https://t.co/XiUCvrBcdt"
1589007141687676928,Sat Nov 05 21:29:59 +0000 2022,"Today : Ukrainian troops launch counterattack as Russian convoy cross Dnipro River near Kherson
#Canada #Germany #UnitedStates #Kherson #Ukraine https://t.co/387UrhKogG"
1589007137702813699,Sat Nov 05 21:29:58 +0000 2022,Iran Admits Sending Drones to Russia for First Time https://t.co/0VteN7WNlA
1589007130451140610,Sat Nov 05 21:29:56 +0000 2022,"@guy_edgewater @Mr_Anderton_ @2022_richy @cecylbcoceTb @EmbassyofRussia @mfa_russia @RusEmbUSA @RussianEmbassy @RusBotschaft @RusBotWien @israel_mid_ru @DIRCO_ZA @rusemberitrea @RusEmbEthiopia @RusEmbNam Keep watching MSM and don't make an effort to learn the facts outside of your bubble. 🤡
It's not Russia, it's Ukraine that puts people expressing their opinions on a kill list. Ukraine even put 13-year-old Faina Savenkova on that kill list: https://t.co/cYGz0aRXlh"
1589007126516539394,Sat Nov 05 21:29:55 +0000 2022,".@BorisJohnson just said on @skynews ""Eventually Ukraine will in because this is a war of independence and wars of independence normally only end one way"".

Is that a fact Boris?

#scottishindependence"
1589007124868104192,Sat Nov 05 21:29:55 +0000 2022,"@hard_fella @ZvikaKlein @ZelenskyyUa @Jerusalem_Post @Ukraine @MFA_Ukraine ""vast minority""

Sounds contradictory."
1589007107839655936,Sat Nov 05 21:29:51 +0000 2022,"Ukraine news on @bbcworldservice at 2100 GMT on 05.11 - listen live: https://t.co/yfGoCQMQOW

External power has been restored to Ukraine's Zaporizhzhya nuclear power plant, two days after it lost access to the power grid. The UN's nuclear watchdog said"
1589007105658609664,Sat Nov 05 21:29:50 +0000 2022,"Anti- Imperialist U: Interview: Gladio WACL, Fascism and the #CIA https://t.co/xlgSyP22Sn #Ukraine #Italy https://t.co/Wf7z0XTlVY"
1589007096179494912,Sat Nov 05 21:29:48 +0000 2022,"Basically printing money just to pay debt is a bad decision. During a recession, the degree of stupidity in that decision is off the scale.
It would/will not end well.
@JoeBiden wants to sell us out to China &amp; launder our money in Ukraine to buy votes."
1589007094711476224,Sat Nov 05 21:29:48 +0000 2022,"After 8 months of Russian occupation, town in Ukraine is liberated.  ""Thank God. Don't leave us anymore!""  #Ukraine #UkraineInvasion #UkraineRussiaWar https://t.co/6Q1DdTDDlJ"
1589007094107504640,Sat Nov 05 21:29:48 +0000 2022,@huntfornancy @thebradfordfile Go leave Twitter and fight for Ukraine
1589007093323141121,Sat Nov 05 21:29:48 +0000 2022,"@beleidigtewu @am_misfit Given that it was a joint Swedish-German project, I am not sure the same export restrictions apply. If they do, then probably JASSM, SCALP, LRASM, or HRIM 2 hit Saki and Ukraine has a very limited amount."
1589007084859031553,Sat Nov 05 21:29:46 +0000 2022,"In the memory of #Ukrainian children killed by #Russia in the centre of #Kyiv.
#RussiaIsATerroristState https://t.co/DKm0AYfsl5"
1589007082644443138,Sat Nov 05 21:29:45 +0000 2022,"@mighty_shield @NoContextBrits Ukraine, before 2022 https://t.co/hgDXEfWV4Y"
1589007067406532609,Sat Nov 05 21:29:41 +0000 2022,"Ukraine sends images of dead Russian soldiers to their families. Hear the responses they received
#Canada #Germany #UnitedStates #Kherson #Ukraine
https://t.co/K5HY93Pipn"
1589007063958671365,Sat Nov 05 21:29:41 +0000 2022,"#Ukraine: The Ukrainian National Guard ""Omega"" Unit captured a Russian T-80BVM with the engine still running in the village of Pavlivka, #Donetsk Oblast. https://t.co/0qK1mOas5V"
1589007060343349248,Sat Nov 05 21:29:40 +0000 2022,"I had thought we were winning! @CNN and all the Ashkenazi-controlled American media says we are winning. Holy shit all the billions we are sending to the shithead @ZelenskyyUa are for nothing? Do I have to go to @telegram to get the truth, the facts? LOL Ukraine is independent!!! https://t.co/GAVpmgV0Ed"
1589007055645704192,Sat Nov 05 21:29:39 +0000 2022,@SomeGumul @robert_bor @NOELreports I am an American who loves freedom.  That is why Iove Slava Ukraine.
