id,created_at,full_text
1589316311972458499,Sun Nov 06 17:58:31 +0000 2022,"@RobinJansson @TheDejaKing @MidoriNectar Same reason some people care whether their goods are made in China or in America, and the same reason some people prefer to support local businesses. Wanting your money to go towards specific places/people is not a new concept."
1589316307010613249,Sun Nov 06 17:58:30 +0000 2022,@FutureWealth6 @chia_project Recognizing Hong Kong as a special administrative region of China. Likewise with Macau.
1589316304565342208,Sun Nov 06 17:58:29 +0000 2022,"@RonDiesel12 @stebob1984 @Luiz_Fernando_J Yeah if your film relies on a government like China to make successful, you need to rethink things."
1589316297464352768,Sun Nov 06 17:58:28 +0000 2022,@islamicworldupd poor turks they just want make anything to save customers from coming again . Iran and China has the best drones right now . Russia drones can be better . United States is falling from the race if they don’t bring out more to replace Iran and china from the top 2
1589316288891203584,Sun Nov 06 17:58:25 +0000 2022,March 2023 before China opens https://t.co/tdrj8WypCM
1589316252178448384,Sun Nov 06 17:58:17 +0000 2022,@joncoopertweets New York
1589316220108476417,Sun Nov 06 17:58:09 +0000 2022,@Scarfer13 @pouparts_junc @johnnydringo @Nigel_Farage 😂😂 It's a choice lol nobody is forcing you lol that's right you don't live in China or North Korea or Russia 😂
1589316207353933825,Sun Nov 06 17:58:06 +0000 2022,"Meanwhile, while Manchin pretends to be butthurt on behalf of the constituents he betrayed, this is going on: https://t.co/H5ewBnbTqJ https://t.co/pQ4Sos9ik3"
1589316202413064193,Sun Nov 06 17:58:05 +0000 2022,"@kunley_drukpa Yes, common China W."
1589316200152301570,Sun Nov 06 17:58:04 +0000 2022,"@RSE_Balkan If Donbas can’t why Kosovo can ?Kosovo recognized by US ,but not by China,Russia,India ,Brasil"
1589316193907019779,Sun Nov 06 17:58:03 +0000 2022,@quakes99 China providing ample energy for its people meanwhile the west bitches and complains and has zero actual plans
1589316179822530561,Sun Nov 06 17:57:59 +0000 2022,"@KhaledBeydoun Sweden, China, Denmark and India are trying to make this world a better place to live!
You guys cry all the time. Instead do some productive work and gain some respect!"
1589316176798453760,Sun Nov 06 17:57:59 +0000 2022,"Excellent analysis of the conflict in #Ukraine, Democrats and Republicans must continue to give weapons to #Ukraine, so that #Russia bleeds completely, and it will never again be threats to the interests of #USA, it will only have to deal with China. https://t.co/WPvidiJXoC"
1589316168812494848,Sun Nov 06 17:57:57 +0000 2022,@bestmzy1 @OliverLai96 @zhuyx14 @chickeee @TGTM_Official You get out. You’re a Chinese that isn’t even allowed on Twitter! Does your slave master Xi Jinping know you’re using VPN? You should be thrown in jail for being a criminal! How dare you use Twitter in China! Delete your account.
1589316158532222976,Sun Nov 06 17:57:54 +0000 2022,@ELPlethora With lower budget. China seems to be off for Hollywood which makes 200 million dollar movie hard to justify
1589316144925921281,Sun Nov 06 17:57:51 +0000 2022,"@jilevin -Hillary Clinton is a criminal
-Camel toe Harris is a criminal
-Joe Biden has sold out to China and Ukrainian corruption
- James Comey politicize the FBI and Christopher Wray continues to do so
- @staceyabrams paid mules to carry  ballots
- Nancy Pelosi has done inside or trading"
1589316140962045954,Sun Nov 06 17:57:50 +0000 2022,China ESG funds bleed $1.4bn in Q2 as Asian growth slows sharply
1589316135815892992,Sun Nov 06 17:57:49 +0000 2022,"@TrueNorthCentre The reason the green environmentalist movement has suffered is because it ignored the fact that China, India, and Russia are increasing their use of carbon every year by more than what Canada uses in total in a year. Canadians realize they can have no meaningful impact."
1589316130535256064,Sun Nov 06 17:57:48 +0000 2022,@RonFilipkowski That can’t be good for gas mileage. Also distraction. Just giving china more money?? Must make some cool sounds tho. And ya play the mad max music with it?
